Question Type,Technology,Difficulty,Question 
Essay,Angular,Intermediate,Discuss the advantages of using Angular for front-end development.
Essay,Ruby,Hard,Discuss the pros and cons of using Ruby on Rails for web development.
Coding,TypeScript,Intermediate,Create a TypeScript function that checks if a string is a palindrome.
Essay,Angular,Intermediate,Discuss the advantages of using Angular for front-end development.
True/False,Python,Intermediate,Python supports multiple inheritance.
True/False,Node.js,Intermediate,"Node.js uses an event-driven, non-blocking I/O model."
MCQs,Go,Beginner,What is the purpose of Goroutines in Go?
Coding,Java,Hard,Write a Java program to check if a number is prime.
Essay,Node.js,Beginner,Explain how Node.js handles asynchronous operations.
True/False,C++,Intermediate,C++ allows function overloading.
Essay,React,Intermediate,Explain how React's component lifecycle works and its significance.
Essay,Python,Intermediate,Discuss the importance of Python's standard library in development.
MCQs,Java,Hard,What is the purpose of the 'final' keyword in Java?
Coding,JavaScript,Hard,Write a function to reverse a string in JavaScript.
True/False,Node.js,Intermediate,"Node.js uses an event-driven, non-blocking I/O model."
True/False,Ruby,Beginner,Ruby is known for its performance in highly concurrent systems.
Essay,Java,Hard,Discuss the advantages and disadvantages of using Java in enterprise applications.
Essay,Angular,Intermediate,Discuss the advantages of using Angular for front-end development.
True/False,React,Hard,React uses a virtual DOM to improve performance.
Essay,C++,Intermediate,Explain the differences between stack and heap memory in C++.
Coding,TypeScript,Beginner,Create a TypeScript function that checks if a string is a palindrome.
MCQs,Node.js,Hard,Which module in Node.js is used to handle file operations?
True/False,Node.js,Beginner,"Node.js uses an event-driven, non-blocking I/O model."
Coding,React,Beginner,Build a React component that displays a list of items.
Essay,C++,Intermediate,Explain the differences between stack and heap memory in C++.
MCQs,React,Beginner,Which hook is used to manage state in functional components?
Essay,React,Hard,Explain how React's component lifecycle works and its significance.
True/False,C++,Intermediate,C++ allows function overloading.
True/False,TypeScript,Intermediate,TypeScript is a superset of JavaScript.
Coding,Python,Beginner,Write a Python function to find the factorial of a number.
Essay,TypeScript,Hard,Discuss the benefits of using TypeScript in large-scale applications.
Coding,Ruby,Intermediate,Write a Ruby method to calculate the Fibonacci sequence.
True/False,C++,Beginner,C++ allows function overloading.
Coding,TypeScript,Intermediate,Create a TypeScript function that checks if a string is a palindrome.
Coding,JavaScript,Beginner,Write a function to reverse a string in JavaScript.
MCQs,Ruby,Hard,What is a block in Ruby?
MCQs,Ruby,Intermediate,What is a block in Ruby?
MCQs,Angular,Intermediate,What is the role of decorators in Angular?
True/False,TypeScript,Intermediate,TypeScript is a superset of JavaScript.
True/False,Ruby,Hard,Ruby is known for its performance in highly concurrent systems.
MCQs,Node.js,Intermediate,Which module in Node.js is used to handle file operations?
MCQs,Angular,Beginner,What is the role of decorators in Angular?
MCQs,C++,Beginner,Which operator is used to allocate memory dynamically in C++?
MCQs,Python,Intermediate,Which of the following is the correct way to define a function in Python?
True/False,Java,Beginner,"In Java, strings are mutable."
Coding,JavaScript,Beginner,Write a function to reverse a string in JavaScript.
Essay,Python,Hard,Discuss the importance of Python's standard library in development.
True/False,React,Intermediate,React uses a virtual DOM to improve performance.
Coding,Node.js,Hard,Write a Node.js script to read a file and log its contents.
Coding,TypeScript,Intermediate,Create a TypeScript function that checks if a string is a palindrome.
Coding,C++,Intermediate,Implement a C++ function to sort an array using the bubble sort algorithm.
MCQs,Go,Hard,What is the purpose of Goroutines in Go?
True/False,Go,Intermediate,Go was developed by Google.
Essay,Java,Hard,Discuss the advantages and disadvantages of using Java in enterprise applications.
MCQs,Angular,Hard,What is the role of decorators in Angular?
MCQs,JavaScript,Intermediate,What is 'this' keyword in JavaScript?
Essay,Go,Beginner,Explain the concept of concurrency in Go and how it differs from parallelism.
Essay,Java,Beginner,Discuss the advantages and disadvantages of using Java in enterprise applications.
Essay,JavaScript,Hard,Explain the concept of closures in JavaScript and their use cases.
Coding,Java,Intermediate,Write a Java program to check if a number is prime.
True/False,Python,Beginner,Python supports multiple inheritance.
Coding,Python,Beginner,Write a Python function to find the factorial of a number.
MCQs,React,Beginner,Which hook is used to manage state in functional components?
MCQs,Python,Beginner,Which of the following is the correct way to define a function in Python?
True/False,Java,Intermediate,"In Java, strings are mutable."
MCQs,Ruby,Hard,What is a block in Ruby?
Essay,React,Beginner,Explain how React's component lifecycle works and its significance.
Essay,Angular,Hard,Discuss the advantages of using Angular for front-end development.
Coding,Ruby,Beginner,Write a Ruby method to calculate the Fibonacci sequence.
True/False,C++,Intermediate,C++ allows function overloading.
True/False,Go,Hard,Go was developed by Google.
Essay,Java,Beginner,Discuss the advantages and disadvantages of using Java in enterprise applications.
Essay,Ruby,Beginner,Discuss the pros and cons of using Ruby on Rails for web development.
Essay,React,Intermediate,Explain how React's component lifecycle works and its significance.
Coding,Angular,Hard,Create a simple Angular form with validation.
True/False,React,Intermediate,React uses a virtual DOM to improve performance.
Coding,Angular,Intermediate,Create a simple Angular form with validation.
True/False,C++,Beginner,C++ allows function overloading.
True/False,Go,Intermediate,Go was developed by Google.
True/False,Ruby,Beginner,Ruby is known for its performance in highly concurrent systems.
True/False,Angular,Intermediate,Angular is primarily used for backend development.
True/False,Python,Hard,Python supports multiple inheritance.
Essay,Go,Hard,Explain the concept of concurrency in Go and how it differs from parallelism.
Essay,C++,Intermediate,Explain the differences between stack and heap memory in C++.
True/False,React,Beginner,React uses a virtual DOM to improve performance.
True/False,C++,Beginner,C++ allows function overloading.
Essay,C++,Hard,Explain the differences between stack and heap memory in C++.
Essay,Python,Beginner,Discuss the importance of Python's standard library in development.
Coding,JavaScript,Hard,Write a function to reverse a string in JavaScript.
Coding,Node.js,Intermediate,Write a Node.js script to read a file and log its contents.
Coding,C++,Intermediate,Implement a C++ function to sort an array using the bubble sort algorithm.
True/False,Node.js,Beginner,"Node.js uses an event-driven, non-blocking I/O model."
True/False,Node.js,Hard,"Node.js uses an event-driven, non-blocking I/O model."
MCQs,Python,Beginner,Which of the following is the correct way to define a function in Python?
MCQs,Ruby,Beginner,What is a block in Ruby?
Coding,Node.js,Beginner,Write a Node.js script to read a file and log its contents.
Coding,Ruby,Hard,Write a Ruby method to calculate the Fibonacci sequence.
MCQs,Ruby,Beginner,What is a block in Ruby?
MCQs,Node.js,Hard,Which module in Node.js is used to handle file operations?
True/False,Python,Intermediate,Python supports multiple inheritance.
True/False,TypeScript,Beginner,TypeScript is a superset of JavaScript.
Essay,React,Intermediate,Explain how React's component lifecycle works and its significance.
Coding,C++,Hard,Implement a C++ function to sort an array using the bubble sort algorithm.
Essay,C++,Intermediate,Explain the differences between stack and heap memory in C++.
Coding,Ruby,Hard,Write a Ruby method to calculate the Fibonacci sequence.
MCQs,Node.js,Intermediate,Which module in Node.js is used to handle file operations?
Essay,Python,Intermediate,Discuss the importance of Python's standard library in development.
MCQs,C++,Hard,Which operator is used to allocate memory dynamically in C++?
Coding,TypeScript,Hard,Create a TypeScript function that checks if a string is a palindrome.
Coding,Ruby,Intermediate,Write a Ruby method to calculate the Fibonacci sequence.
True/False,React,Hard,React uses a virtual DOM to improve performance.
True/False,Angular,Beginner,Angular is primarily used for backend development.
Essay,React,Hard,Explain how React's component lifecycle works and its significance.
Essay,Go,Intermediate,Explain the concept of concurrency in Go and how it differs from parallelism.
True/False,React,Beginner,React uses a virtual DOM to improve performance.
Coding,Python,Beginner,Write a Python function to find the factorial of a number.
Essay,Node.js,Beginner,Explain how Node.js handles asynchronous operations.
Coding,TypeScript,Intermediate,Create a TypeScript function that checks if a string is a palindrome.
MCQs,JavaScript,Hard,What is 'this' keyword in JavaScript?
MCQs,TypeScript,Intermediate,How is TypeScript different from JavaScript?
True/False,JavaScript,Hard,JavaScript is a statically typed language.
Coding,Java,Beginner,Write a Java program to check if a number is prime.
Coding,JavaScript,Intermediate,Write a function to reverse a string in JavaScript.
Essay,Go,Intermediate,Explain the concept of concurrency in Go and how it differs from parallelism.
Coding,C++,Beginner,Implement a C++ function to sort an array using the bubble sort algorithm.
Coding,JavaScript,Intermediate,Write a function to reverse a string in JavaScript.
True/False,Ruby,Intermediate,Ruby is known for its performance in highly concurrent systems.
MCQs,Java,Intermediate,What is the purpose of the 'final' keyword in Java?
MCQs,Python,Intermediate,Which of the following is the correct way to define a function in Python?
Essay,Java,Hard,Discuss the advantages and disadvantages of using Java in enterprise applications.
MCQs,React,Intermediate,Which hook is used to manage state in functional components?
MCQs,React,Beginner,Which hook is used to manage state in functional components?
Essay,React,Hard,Explain how React's component lifecycle works and its significance.
Essay,Java,Hard,Discuss the advantages and disadvantages of using Java in enterprise applications.
True/False,Node.js,Beginner,"Node.js uses an event-driven, non-blocking I/O model."
Coding,TypeScript,Hard,Create a TypeScript function that checks if a string is a palindrome.
Coding,Angular,Intermediate,Create a simple Angular form with validation.
Coding,Angular,Beginner,Create a simple Angular form with validation.
Essay,JavaScript,Hard,Explain the concept of closures in JavaScript and their use cases.
Essay,Go,Intermediate,Explain the concept of concurrency in Go and how it differs from parallelism.
Essay,Angular,Intermediate,Discuss the advantages of using Angular for front-end development.
Coding,Java,Beginner,Write a Java program to check if a number is prime.
Essay,Node.js,Beginner,Explain how Node.js handles asynchronous operations.
MCQs,Node.js,Hard,Which module in Node.js is used to handle file operations?
MCQs,React,Hard,Which hook is used to manage state in functional components?
True/False,Python,Beginner,Python supports multiple inheritance.
MCQs,Java,Hard,What is the purpose of the 'final' keyword in Java?
Essay,Angular,Beginner,Discuss the advantages of using Angular for front-end development.
MCQs,TypeScript,Intermediate,How is TypeScript different from JavaScript?
Coding,React,Hard,Build a React component that displays a list of items.
Essay,C++,Intermediate,Explain the differences between stack and heap memory in C++.
Coding,Java,Hard,Write a Java program to check if a number is prime.
True/False,C++,Intermediate,C++ allows function overloading.
True/False,Go,Beginner,Go was developed by Google.
Essay,React,Beginner,Explain how React's component lifecycle works and its significance.
MCQs,Ruby,Beginner,What is a block in Ruby?
MCQs,Java,Intermediate,What is the purpose of the 'final' keyword in Java?
True/False,Ruby,Intermediate,Ruby is known for its performance in highly concurrent systems.
Coding,Node.js,Intermediate,Write a Node.js script to read a file and log its contents.
Essay,Java,Intermediate,Discuss the advantages and disadvantages of using Java in enterprise applications.
True/False,Node.js,Hard,"Node.js uses an event-driven, non-blocking I/O model."
Essay,Node.js,Beginner,Explain how Node.js handles asynchronous operations.
Essay,React,Intermediate,Explain how React's component lifecycle works and its significance.
True/False,TypeScript,Beginner,TypeScript is a superset of JavaScript.
MCQs,Angular,Beginner,What is the role of decorators in Angular?
Coding,Java,Hard,Write a Java program to check if a number is prime.
MCQs,C++,Intermediate,Which operator is used to allocate memory dynamically in C++?
Essay,C++,Hard,Explain the differences between stack and heap memory in C++.
Coding,Node.js,Intermediate,Write a Node.js script to read a file and log its contents.
Coding,Node.js,Intermediate,Write a Node.js script to read a file and log its contents.
True/False,JavaScript,Beginner,JavaScript is a statically typed language.
Coding,Go,Intermediate,Write a Go program to handle concurrent tasks using Goroutines.
Coding,Angular,Hard,Create a simple Angular form with validation.
MCQs,Python,Intermediate,Which of the following is the correct way to define a function in Python?
True/False,Go,Beginner,Go was developed by Google.
MCQs,Node.js,Hard,Which module in Node.js is used to handle file operations?
Coding,Go,Intermediate,Write a Go program to handle concurrent tasks using Goroutines.
Coding,Node.js,Beginner,Write a Node.js script to read a file and log its contents.
Coding,Python,Intermediate,Write a Python function to find the factorial of a number.
MCQs,Angular,Beginner,What is the role of decorators in Angular?
True/False,Angular,Beginner,Angular is primarily used for backend development.
Essay,TypeScript,Intermediate,Discuss the benefits of using TypeScript in large-scale applications.
Coding,Node.js,Intermediate,Write a Node.js script to read a file and log its contents.
Coding,Go,Hard,Write a Go program to handle concurrent tasks using Goroutines.
Coding,React,Intermediate,Build a React component that displays a list of items.
True/False,C++,Hard,C++ allows function overloading.
MCQs,JavaScript,Intermediate,What is 'this' keyword in JavaScript?
MCQs,Node.js,Hard,Which module in Node.js is used to handle file operations?
True/False,Ruby,Intermediate,Ruby is known for its performance in highly concurrent systems.
Coding,C++,Hard,Implement a C++ function to sort an array using the bubble sort algorithm.
Essay,JavaScript,Intermediate,Explain the concept of closures in JavaScript and their use cases.
True/False,Go,Hard,Go was developed by Google.
MCQs,React,Intermediate,Which hook is used to manage state in functional components?
MCQs,Node.js,Hard,Which module in Node.js is used to handle file operations?
True/False,JavaScript,Intermediate,JavaScript is a statically typed language.
True/False,Angular,Beginner,Angular is primarily used for backend development.
True/False,C++,Hard,C++ allows function overloading.
Essay,Ruby,Beginner,Discuss the pros and cons of using Ruby on Rails for web development.
MCQs,Angular,Intermediate,What is the role of decorators in Angular?
MCQs,Python,Beginner,Which of the following is the correct way to define a function in Python?
True/False,JavaScript,Beginner,JavaScript is a statically typed language.
True/False,React,Intermediate,React uses a virtual DOM to improve performance.
Essay,Angular,Intermediate,Discuss the advantages of using Angular for front-end development.
Coding,React,Hard,Build a React component that displays a list of items.
True/False,JavaScript,Intermediate,JavaScript is a statically typed language.
MCQs,Node.js,Beginner,Which module in Node.js is used to handle file operations?
MCQs,Java,Beginner,What is the purpose of the 'final' keyword in Java?
Coding,TypeScript,Hard,Create a TypeScript function that checks if a string is a palindrome.
MCQs,React,Intermediate,Which hook is used to manage state in functional components?
True/False,JavaScript,Intermediate,JavaScript is a statically typed language.
Coding,Angular,Beginner,Create a simple Angular form with validation.
Coding,React,Intermediate,Build a React component that displays a list of items.
Essay,Go,Intermediate,Explain the concept of concurrency in Go and how it differs from parallelism.
True/False,TypeScript,Hard,TypeScript is a superset of JavaScript.
MCQs,C++,Hard,Which operator is used to allocate memory dynamically in C++?
MCQs,JavaScript,Hard,What is 'this' keyword in JavaScript?
Coding,Angular,Intermediate,Create a simple Angular form with validation.
True/False,Python,Hard,Python supports multiple inheritance.
Essay,Go,Hard,Explain the concept of concurrency in Go and how it differs from parallelism.
Coding,Angular,Hard,Create a simple Angular form with validation.
MCQs,Go,Intermediate,What is the purpose of Goroutines in Go?
True/False,Node.js,Hard,"Node.js uses an event-driven, non-blocking I/O model."
Essay,Node.js,Beginner,Explain how Node.js handles asynchronous operations.
Essay,Node.js,Intermediate,Explain how Node.js handles asynchronous operations.
True/False,JavaScript,Beginner,JavaScript is a statically typed language.
MCQs,Go,Intermediate,What is the purpose of Goroutines in Go?
Essay,React,Beginner,Explain how React's component lifecycle works and its significance.
Essay,Go,Beginner,Explain the concept of concurrency in Go and how it differs from parallelism.
Essay,TypeScript,Hard,Discuss the benefits of using TypeScript in large-scale applications.
True/False,Angular,Intermediate,Angular is primarily used for backend development.
Essay,Node.js,Beginner,Explain how Node.js handles asynchronous operations.
True/False,Node.js,Hard,"Node.js uses an event-driven, non-blocking I/O model."
Coding,Angular,Intermediate,Create a simple Angular form with validation.
Essay,Node.js,Beginner,Explain how Node.js handles asynchronous operations.
MCQs,Ruby,Intermediate,What is a block in Ruby?
MCQs,C++,Hard,Which operator is used to allocate memory dynamically in C++?
MCQs,TypeScript,Beginner,How is TypeScript different from JavaScript?
Coding,JavaScript,Intermediate,Write a function to reverse a string in JavaScript.
True/False,Python,Hard,Python supports multiple inheritance.
Essay,C++,Beginner,Explain the differences between stack and heap memory in C++.
True/False,Java,Intermediate,"In Java, strings are mutable."
Essay,C++,Beginner,Explain the differences between stack and heap memory in C++.
MCQs,TypeScript,Intermediate,How is TypeScript different from JavaScript?
MCQs,Java,Beginner,What is the purpose of the 'final' keyword in Java?
True/False,Ruby,Intermediate,Ruby is known for its performance in highly concurrent systems.
MCQs,Angular,Beginner,What is the role of decorators in Angular?
Coding,Java,Beginner,Write a Java program to check if a number is prime.
Essay,Angular,Intermediate,Discuss the advantages of using Angular for front-end development.
True/False,React,Intermediate,React uses a virtual DOM to improve performance.
True/False,C++,Beginner,C++ allows function overloading.
MCQs,TypeScript,Intermediate,How is TypeScript different from JavaScript?
Essay,Angular,Hard,Discuss the advantages of using Angular for front-end development.
True/False,Node.js,Intermediate,"Node.js uses an event-driven, non-blocking I/O model."
Essay,JavaScript,Beginner,Explain the concept of closures in JavaScript and their use cases.
Coding,TypeScript,Beginner,Create a TypeScript function that checks if a string is a palindrome.
MCQs,TypeScript,Hard,How is TypeScript different from JavaScript?
Essay,Ruby,Intermediate,Discuss the pros and cons of using Ruby on Rails for web development.
True/False,Node.js,Intermediate,"Node.js uses an event-driven, non-blocking I/O model."
True/False,Ruby,Hard,Ruby is known for its performance in highly concurrent systems.
Essay,Angular,Intermediate,Discuss the advantages of using Angular for front-end development.
Coding,Python,Hard,Write a Python function to find the factorial of a number.
True/False,React,Hard,React uses a virtual DOM to improve performance.
MCQs,Java,Beginner,What is the purpose of the 'final' keyword in Java?
Essay,TypeScript,Hard,Discuss the benefits of using TypeScript in large-scale applications.
Essay,Go,Hard,Explain the concept of concurrency in Go and how it differs from parallelism.
Coding,Node.js,Hard,Write a Node.js script to read a file and log its contents.
Coding,JavaScript,Hard,Write a function to reverse a string in JavaScript.
MCQs,Go,Intermediate,What is the purpose of Goroutines in Go?
Coding,Java,Intermediate,Write a Java program to check if a number is prime.
Essay,JavaScript,Beginner,Explain the concept of closures in JavaScript and their use cases.
True/False,Python,Beginner,Python supports multiple inheritance.
Essay,JavaScript,Hard,Explain the concept of closures in JavaScript and their use cases.
MCQs,Go,Intermediate,What is the purpose of Goroutines in Go?
True/False,JavaScript,Beginner,JavaScript is a statically typed language.
Essay,Python,Beginner,Discuss the importance of Python's standard library in development.
Coding,Angular,Beginner,Create a simple Angular form with validation.
True/False,TypeScript,Beginner,TypeScript is a superset of JavaScript.
MCQs,Ruby,Hard,What is a block in Ruby?
Essay,Python,Intermediate,Discuss the importance of Python's standard library in development.
True/False,TypeScript,Beginner,TypeScript is a superset of JavaScript.
Essay,Ruby,Hard,Discuss the pros and cons of using Ruby on Rails for web development.
Essay,Python,Hard,Discuss the importance of Python's standard library in development.
Coding,Go,Beginner,Write a Go program to handle concurrent tasks using Goroutines.
True/False,Angular,Hard,Angular is primarily used for backend development.
MCQs,Python,Hard,Which of the following is the correct way to define a function in Python?
MCQs,Angular,Hard,What is the role of decorators in Angular?
Coding,Go,Hard,Write a Go program to handle concurrent tasks using Goroutines.
True/False,Angular,Intermediate,Angular is primarily used for backend development.
MCQs,Python,Beginner,Which of the following is the correct way to define a function in Python?
Essay,React,Beginner,Explain how React's component lifecycle works and its significance.
Coding,Ruby,Intermediate,Write a Ruby method to calculate the Fibonacci sequence.
MCQs,React,Hard,Which hook is used to manage state in functional components?
Essay,Angular,Beginner,Discuss the advantages of using Angular for front-end development.
MCQs,Angular,Intermediate,What is the role of decorators in Angular?
Essay,Python,Beginner,Discuss the importance of Python's standard library in development.
MCQs,Ruby,Beginner,What is a block in Ruby?
MCQs,React,Intermediate,Which hook is used to manage state in functional components?
MCQs,JavaScript,Beginner,What is 'this' keyword in JavaScript?
Essay,Angular,Hard,Discuss the advantages of using Angular for front-end development.
Essay,Java,Intermediate,Discuss the advantages and disadvantages of using Java in enterprise applications.
MCQs,Node.js,Intermediate,Which module in Node.js is used to handle file operations?
True/False,React,Hard,React uses a virtual DOM to improve performance.
Coding,JavaScript,Hard,Write a function to reverse a string in JavaScript.
Essay,Go,Hard,Explain the concept of concurrency in Go and how it differs from parallelism.
Coding,Angular,Hard,Create a simple Angular form with validation.
Essay,React,Beginner,Explain how React's component lifecycle works and its significance.
True/False,Node.js,Beginner,"Node.js uses an event-driven, non-blocking I/O model."
Coding,TypeScript,Beginner,Create a TypeScript function that checks if a string is a palindrome.
True/False,React,Hard,React uses a virtual DOM to improve performance.
MCQs,Go,Hard,What is the purpose of Goroutines in Go?
True/False,Ruby,Hard,Ruby is known for its performance in highly concurrent systems.
MCQs,Angular,Intermediate,What is the role of decorators in Angular?
Essay,TypeScript,Beginner,Discuss the benefits of using TypeScript in large-scale applications.
Coding,React,Hard,Build a React component that displays a list of items.
True/False,C++,Beginner,C++ allows function overloading.
Coding,Angular,Beginner,Create a simple Angular form with validation.
Coding,Angular,Hard,Create a simple Angular form with validation.
True/False,C++,Beginner,C++ allows function overloading.
MCQs,TypeScript,Hard,How is TypeScript different from JavaScript?
Essay,Ruby,Beginner,Discuss the pros and cons of using Ruby on Rails for web development.
True/False,Angular,Beginner,Angular is primarily used for backend development.
MCQs,React,Intermediate,Which hook is used to manage state in functional components?
Coding,C++,Beginner,Implement a C++ function to sort an array using the bubble sort algorithm.
Coding,TypeScript,Intermediate,Create a TypeScript function that checks if a string is a palindrome.
Coding,Java,Hard,Write a Java program to check if a number is prime.
Coding,Ruby,Beginner,Write a Ruby method to calculate the Fibonacci sequence.
Essay,Java,Hard,Discuss the advantages and disadvantages of using Java in enterprise applications.
MCQs,Go,Hard,What is the purpose of Goroutines in Go?
Coding,Java,Hard,Write a Java program to check if a number is prime.
True/False,TypeScript,Intermediate,TypeScript is a superset of JavaScript.
Essay,Node.js,Hard,Explain how Node.js handles asynchronous operations.
Essay,C++,Intermediate,Explain the differences between stack and heap memory in C++.
MCQs,C++,Intermediate,Which operator is used to allocate memory dynamically in C++?
True/False,TypeScript,Hard,TypeScript is a superset of JavaScript.
True/False,JavaScript,Beginner,JavaScript is a statically typed language.
Coding,Java,Intermediate,Write a Java program to check if a number is prime.
Coding,Java,Beginner,Write a Java program to check if a number is prime.
True/False,JavaScript,Intermediate,JavaScript is a statically typed language.
MCQs,Node.js,Intermediate,Which module in Node.js is used to handle file operations?
True/False,Node.js,Beginner,"Node.js uses an event-driven, non-blocking I/O model."
Coding,TypeScript,Intermediate,Create a TypeScript function that checks if a string is a palindrome.
MCQs,Java,Intermediate,What is the purpose of the 'final' keyword in Java?
Essay,TypeScript,Beginner,Discuss the benefits of using TypeScript in large-scale applications.
MCQs,Python,Hard,Which of the following is the correct way to define a function in Python?
MCQs,React,Intermediate,Which hook is used to manage state in functional components?
True/False,Ruby,Hard,Ruby is known for its performance in highly concurrent systems.
Coding,Python,Intermediate,Write a Python function to find the factorial of a number.
True/False,React,Hard,React uses a virtual DOM to improve performance.
True/False,Go,Hard,Go was developed by Google.
True/False,JavaScript,Hard,JavaScript is a statically typed language.
Essay,C++,Beginner,Explain the differences between stack and heap memory in C++.
Essay,Node.js,Hard,Explain how Node.js handles asynchronous operations.
Essay,Java,Beginner,Discuss the advantages and disadvantages of using Java in enterprise applications.
True/False,C++,Intermediate,C++ allows function overloading.
MCQs,TypeScript,Intermediate,How is TypeScript different from JavaScript?
MCQs,Go,Intermediate,What is the purpose of Goroutines in Go?
Coding,React,Intermediate,Build a React component that displays a list of items.
True/False,Go,Beginner,Go was developed by Google.
True/False,JavaScript,Beginner,JavaScript is a statically typed language.
Coding,Python,Intermediate,Write a Python function to find the factorial of a number.
MCQs,Node.js,Hard,Which module in Node.js is used to handle file operations?
Coding,Python,Beginner,Write a Python function to find the factorial of a number.
Coding,Java,Hard,Write a Java program to check if a number is prime.
MCQs,Ruby,Intermediate,What is a block in Ruby?
True/False,Java,Intermediate,"In Java, strings are mutable."
Essay,Ruby,Beginner,Discuss the pros and cons of using Ruby on Rails for web development.
MCQs,JavaScript,Intermediate,What is 'this' keyword in JavaScript?
Coding,TypeScript,Hard,Create a TypeScript function that checks if a string is a palindrome.
True/False,Angular,Beginner,Angular is primarily used for backend development.
Coding,Ruby,Hard,Write a Ruby method to calculate the Fibonacci sequence.
Essay,Node.js,Hard,Explain how Node.js handles asynchronous operations.
True/False,Python,Intermediate,Python supports multiple inheritance.
True/False,Java,Intermediate,"In Java, strings are mutable."
Essay,C++,Intermediate,Explain the differences between stack and heap memory in C++.
True/False,JavaScript,Beginner,JavaScript is a statically typed language.
True/False,Python,Beginner,Python supports multiple inheritance.
Coding,Node.js,Beginner,Write a Node.js script to read a file and log its contents.
True/False,Java,Hard,"In Java, strings are mutable."
Essay,React,Intermediate,Explain how React's component lifecycle works and its significance.
Essay,Java,Beginner,Discuss the advantages and disadvantages of using Java in enterprise applications.
Essay,Node.js,Beginner,Explain how Node.js handles asynchronous operations.
Essay,C++,Hard,Explain the differences between stack and heap memory in C++.
Coding,Angular,Beginner,Create a simple Angular form with validation.
MCQs,JavaScript,Hard,What is 'this' keyword in JavaScript?
Coding,Ruby,Hard,Write a Ruby method to calculate the Fibonacci sequence.
True/False,Ruby,Beginner,Ruby is known for its performance in highly concurrent systems.
True/False,TypeScript,Hard,TypeScript is a superset of JavaScript.
MCQs,Ruby,Hard,What is a block in Ruby?
True/False,Python,Intermediate,Python supports multiple inheritance.
True/False,Go,Beginner,Go was developed by Google.
True/False,Node.js,Beginner,"Node.js uses an event-driven, non-blocking I/O model."
Coding,Angular,Hard,Create a simple Angular form with validation.
Coding,Angular,Hard,Create a simple Angular form with validation.
True/False,Go,Hard,Go was developed by Google.
True/False,TypeScript,Intermediate,TypeScript is a superset of JavaScript.
Coding,TypeScript,Intermediate,Create a TypeScript function that checks if a string is a palindrome.
True/False,React,Hard,React uses a virtual DOM to improve performance.
MCQs,Ruby,Hard,What is a block in Ruby?
Essay,Go,Beginner,Explain the concept of concurrency in Go and how it differs from parallelism.
True/False,React,Intermediate,React uses a virtual DOM to improve performance.
Essay,Java,Intermediate,Discuss the advantages and disadvantages of using Java in enterprise applications.
True/False,Go,Intermediate,Go was developed by Google.
MCQs,Ruby,Intermediate,What is a block in Ruby?
True/False,Node.js,Hard,"Node.js uses an event-driven, non-blocking I/O model."
Coding,JavaScript,Beginner,Write a function to reverse a string in JavaScript.
MCQs,Ruby,Beginner,What is a block in Ruby?
MCQs,Go,Beginner,What is the purpose of Goroutines in Go?
MCQs,Go,Intermediate,What is the purpose of Goroutines in Go?
Coding,Angular,Intermediate,Create a simple Angular form with validation.
Essay,Go,Hard,Explain the concept of concurrency in Go and how it differs from parallelism.
Coding,Angular,Intermediate,Create a simple Angular form with validation.
Essay,Node.js,Hard,Explain how Node.js handles asynchronous operations.
True/False,Go,Beginner,Go was developed by Google.
Essay,Angular,Intermediate,Discuss the advantages of using Angular for front-end development.
True/False,Node.js,Hard,"Node.js uses an event-driven, non-blocking I/O model."
True/False,Python,Intermediate,Python supports multiple inheritance.
Essay,C++,Beginner,Explain the differences between stack and heap memory in C++.
True/False,Python,Beginner,Python supports multiple inheritance.
Coding,Node.js,Beginner,Write a Node.js script to read a file and log its contents.
Coding,Go,Hard,Write a Go program to handle concurrent tasks using Goroutines.
Essay,Ruby,Intermediate,Discuss the pros and cons of using Ruby on Rails for web development.
True/False,React,Intermediate,React uses a virtual DOM to improve performance.
True/False,Ruby,Hard,Ruby is known for its performance in highly concurrent systems.
MCQs,Go,Beginner,What is the purpose of Goroutines in Go?
Coding,React,Hard,Build a React component that displays a list of items.
Coding,Java,Beginner,Write a Java program to check if a number is prime.
True/False,C++,Beginner,C++ allows function overloading.
MCQs,Angular,Hard,What is the role of decorators in Angular?
MCQs,Node.js,Hard,Which module in Node.js is used to handle file operations?
Coding,React,Intermediate,Build a React component that displays a list of items.
Essay,C++,Hard,Explain the differences between stack and heap memory in C++.
Essay,Python,Hard,Discuss the importance of Python's standard library in development.
MCQs,Go,Hard,What is the purpose of Goroutines in Go?
True/False,Angular,Intermediate,Angular is primarily used for backend development.
Essay,TypeScript,Hard,Discuss the benefits of using TypeScript in large-scale applications.
Coding,Node.js,Hard,Write a Node.js script to read a file and log its contents.
MCQs,C++,Beginner,Which operator is used to allocate memory dynamically in C++?
MCQs,Node.js,Intermediate,Which module in Node.js is used to handle file operations?
Essay,Python,Intermediate,Discuss the importance of Python's standard library in development.
Coding,Ruby,Hard,Write a Ruby method to calculate the Fibonacci sequence.
True/False,React,Beginner,React uses a virtual DOM to improve performance.
Essay,JavaScript,Hard,Explain the concept of closures in JavaScript and their use cases.
True/False,TypeScript,Beginner,TypeScript is a superset of JavaScript.
True/False,JavaScript,Hard,JavaScript is a statically typed language.
Coding,Java,Intermediate,Write a Java program to check if a number is prime.
True/False,Go,Beginner,Go was developed by Google.
